Date,Open,High,Low,Close,Adj Close,Volume
2024-03-19,60.389999,61.389999,60.259998,61.270000,60.875675,11433900
2024-03-20,61.450001,62.410000,61.360001,62.200001,61.799690,14564500
2024-03-21,62.200001,63.389999,61.290001,61.360001,60.965096,18090300
2024-03-22,62.220001,62.490002,61.720001,61.779999,61.382389,10045900
2024-03-25,62.000000,62.639999,61.410000,62.610001,62.207050,11423500
2024-03-26,62.619999,62.910000,61.299999,61.430000,61.034645,13829600
2024-03-27,62.160000,63.860001,62.020000,63.790001,63.379456,13409000
2024-03-28,63.669998,64.260002,63.389999,63.910000,63.498684,12830800
2024-04-01,63.910000,64.050003,62.759998,63.380001,62.972095,13175200
2024-04-02,63.270000,63.340000,62.360001,62.880001,62.475315,9905300
2024-04-03,62.689999,62.990002,61.860001,62.549999,62.147434,10551400
2024-04-04,63.349998,63.980000,62.970001,63.730000,63.319843,10690100
2024-04-05,63.049999,64.360001,62.900002,64.180000,63.766945,10276800
2024-04-08,64.150002,64.919998,63.930000,64.860001,64.442574,8054900
2024-04-09,65.150002,65.860001,64.790001,65.379997,64.959221,9188500
2024-04-10,63.500000,64.239998,63.000000,64.010002,63.598042,10783400
2024-04-11,64.629997,64.790001,63.320000,63.939999,63.528488,12145600
2024-04-12,64.120003,64.309998,62.950001,63.080002,62.674026,9038700
2024-04-15,63.529999,64.330002,62.299999,62.750000,62.346149,11147100
2024-04-16,62.490002,62.580002,61.310001,61.700001,61.302906,11594100
2024-04-17,62.240002,63.919998,61.919998,63.790001,63.379456,15653700
2024-04-18,63.849998,64.389999,63.130001,64.010002,63.598042,10135000
2024-04-19,64.220001,64.900002,63.650002,64.300003,63.886177,13418800
2024-04-22,64.589996,65.489998,63.919998,65.309998,64.889671,14747200
2024-04-23,65.239998,67.169998,65.099998,66.199997,65.773941,14349200
2024-04-24,65.910004,67.099998,65.220001,66.559998,66.131622,12149600
2024-04-25,66.000000,67.120003,65.510002,66.900002,66.469444,11418500
2024-04-26,67.220001,67.300003,65.750000,65.989998,65.565292,9982800
2024-04-29,67.019997,67.910004,66.959999,67.419998,66.986092,9795800
2024-04-30,66.900002,67.489998,66.269997,66.970001,66.538994,10042600
2024-05-01,66.870003,68.860001,66.739998,68.610001,68.168434,13991100
2024-05-02,68.879997,69.019997,67.669998,68.849998,68.406891,10815900
2024-05-03,69.889999,70.279999,69.309998,70.139999,69.688591,12687500
2024-05-06,70.360001,71.300003,70.260002,71.250000,70.791443,14042100
2024-05-07,71.690002,72.040001,71.309998,71.949997,71.486938,13621100
2024-05-08,71.699997,72.889999,71.480003,72.849998,72.381142,9915000
2024-05-09,73.000000,74.730003,72.580002,74.580002,74.100014,16627900
2024-05-10,74.870003,75.209999,73.650002,73.790001,73.315102,12046700
2024-05-13,74.139999,74.669998,73.589996,74.580002,74.100014,7685500
2024-05-14,74.940002,75.610001,74.660004,75.419998,74.934608,8176600
2024-05-15,75.970001,77.190002,75.970001,77.050003,76.554123,12470600
2024-05-16,77.059998,77.410004,76.059998,76.410004,75.918236,10414200
2024-05-17,76.349998,76.550003,75.540001,76.089996,75.600288,9490300
2024-05-20,75.989998,76.190002,75.570000,75.870003,75.381714,7179700
2024-05-21,75.870003,76.959999,75.449997,76.949997,76.454758,6420100
2024-05-22,76.410004,77.180000,76.160004,76.320000,75.828812,8773600
2024-05-23,75.959999,75.959999,74.620003,75.320000,74.835251,9097800
2024-05-24,75.419998,77.099998,75.260002,76.610001,76.116951,7599700
2024-05-28,76.620003,78.260002,76.330002,77.529999,77.031029,11986600
2024-05-29,76.769997,76.900002,76.160004,76.680000,76.186501,6896300
2024-05-30,76.870003,78.260002,76.610001,78.190002,77.686783,21764700
2024-05-31,78.290001,80.470001,78.129997,80.019997,79.504997,16196000
2024-06-03,79.500000,79.750000,77.519997,77.709999,77.709999,15410500
2024-06-04,77.610001,77.790001,76.529999,77.150002,77.150002,8484300
2024-06-05,77.050003,77.330002,76.599998,77.050003,77.050003,9264600
2024-06-06,76.940002,77.769997,76.629997,76.699997,76.699997,6550600
2024-06-07,75.559998,77.000000,75.010002,75.389999,75.389999,10059500
2024-06-10,75.470001,77.059998,74.849998,76.970001,76.970001,11218900
2024-06-11,75.300003,75.320000,71.550003,72.739998,72.739998,22781500
2024-06-12,73.790001,73.949997,71.400002,72.260002,72.260002,13930500
2024-06-13,72.559998,73.720001,72.360001,73.180000,73.180000,10023200
2024-06-14,72.760002,73.540001,72.379997,73.059998,73.059998,6568500
2024-06-17,72.730003,73.400002,72.190002,72.309998,72.309998,8445300
2024-06-18,69.099998,70.589996,68.970001,70.440002,70.440002,29169800
2024-06-20,71.000000,72.889999,70.790001,72.459999,72.459999,14857200
2024-06-21,73.360001,73.690002,72.070000,72.809998,72.809998,19465800
2024-06-24,72.500000,74.260002,72.250000,73.849998,73.849998,12063700
2024-06-25,73.570000,73.739998,72.389999,72.980003,72.980003,11011800
2024-06-26,72.800003,73.610001,71.919998,73.370003,73.370003,11481500
2024-06-27,73.620003,74.389999,73.230003,73.720001,73.720001,9824500
2024-06-28,73.209999,73.309998,69.860001,70.809998,70.809998,23935600
2024-07-01,71.459999,71.629997,69.540001,69.900002,69.900002,11036400
2024-07-02,70.000000,70.599998,69.379997,70.470001,70.470001,9415200
2024-07-03,70.919998,71.910004,70.550003,71.830002,71.830002,4487200
2024-07-05,72.000000,72.349998,71.639999,72.089996,72.089996,7688800
2024-07-08,72.150002,72.580002,71.739998,72.110001,72.110001,5368700
2024-07-09,72.059998,72.989998,71.680000,72.120003,72.120003,6220100
2024-07-10,72.260002,73.129997,71.680000,72.900002,72.900002,6740900
2024-07-11,73.500000,75.209999,73.459999,74.699997,74.699997,12188700
2024-07-12,75.000000,76.699997,74.769997,76.000000,76.000000,10881907
